id,title,year,genre,rating,description
148,The Truman Show,1950,Comedy,9.0,A warm and inspiring tale of hope and resilience.
149,The Green Mile,1951,Action,7.2,An emotional story that leaves a lasting impact.
150,Casablanca,1962,Crime,6.7,A gripping story filled with emotion and depth.
151,The Wolf of Wall Street,1986,Sci-Fi,7.5,A powerful drama exploring human relationships.
152,The Green Mile,2017,Comedy,7.2,A visually stunning film with a heartfelt narrative.
153,Avatar,2010,Crime,8.7,A powerful drama exploring human relationships.
154,The Dark Knight,1986,Action,9.3,A gripping story filled with emotion and depth.
155,Iron Man,2018,Animation,8.6,An unforgettable journey of courage and discovery.
156,Forrest Gump,1978,Action,7.9,An unforgettable journey of courage and discovery.
157,Gladiator,1978,Thriller,7.4,A gripping story filled with emotion and depth.
158,The Prestige,2000,Adventure,9.4,An emotional story that leaves a lasting impact.
159,Shutter Island,2007,Action,7.2,A warm and inspiring tale of hope and resilience.
160,The Green Mile,1972,Adventure,8.2,A suspenseful ride packed with unexpected twists.
161,The Shawshank Redemption,2014,Adventure,8.7,A suspenseful ride packed with unexpected twists.
162,Good Will Hunting,1987,Action,8.4,A beautifully crafted film with memorable characters.
163,Casablanca,2013,Adventure,8.5,A visually stunning film with a heartfelt narrative.
164,The Dark Knight,1976,Comedy,9.6,A thrilling adventure that keeps you on the edge.
165,No Country for Old Men,1996,Thriller,8.8,A suspenseful ride packed with unexpected twists.
166,Parasite,2020,Animation,8.1,A fast-paced story with intense action sequences.
167,The Departed,1971,Sci-Fi,7.3,A visually stunning film with a heartfelt narrative.
168,Avatar,1979,Comedy,9.2,A powerful drama exploring human relationships.
169,Titanic,1976,Romance,9.5,A visually stunning film with a heartfelt narrative.
170,Moonlight,2012,Romance,7.7,A thrilling adventure that keeps you on the edge.
171,The Social Network,1955,Drama,9.8,A gripping story filled with emotion and depth.
172,Toy Story,1984,Action,8.1,A thrilling adventure that keeps you on the edge.
173,The Prestige,1972,Action,7.0,A suspenseful ride packed with unexpected twists.
174,Se7en,1951,Crime,6.6,A fast-paced story with intense action sequences.
175,The Shawshank Redemption,1966,Sci-Fi,8.2,An unforgettable journey of courage and discovery.
176,Her,1996,Horror,8.0,A powerful drama exploring human relationships.
177,Avatar,2018,Action,9.5,A thrilling adventure that keeps you on the edge.
178,Parasite,2018,Crime,7.5,A suspenseful ride packed with unexpected twists.
179,Parasite,1967,Action,7.1,A powerful drama exploring human relationships.
180,Good Will Hunting,2012,Crime,8.2,A visually stunning film with a heartfelt narrative.
181,Back to the Future,1977,Action,8.9,An unforgettable journey of courage and discovery.
182,Braveheart,1973,Animation,6.9,A powerful drama exploring human relationships.
183,Harry Potter and the Sorcerer's Stone,1963,Action,8.1,An unforgettable journey of courage and discovery.
184,Avatar,1993,Drama,7.8,A suspenseful ride packed with unexpected twists.
185,Black Panther,1988,Thriller,9.4,A warm and inspiring tale of hope and resilience.
186,Spirited Away,1985,Sci-Fi,9.3,A beautifully crafted film with memorable characters.
187,The Matrix,1993,Sci-Fi,9.1,An unforgettable journey of courage and discovery.
188,The Batman,2004,Comedy,7.0,A thrilling adventure that keeps you on the edge.
189,Back to the Future,2014,Adventure,6.8,A suspenseful ride packed with unexpected twists.
190,The Avengers,2012,Romance,7.7,An emotional story that leaves a lasting impact.
191,The Departed,2006,Adventure,9.0,A warm and inspiring tale of hope and resilience.
192,The Green Mile,1958,Comedy,6.8,A gripping story filled with emotion and depth.
193,Moonlight,1958,Crime,9.0,An emotional story that leaves a lasting impact.
194,Harry Potter and the Sorcerer's Stone,2011,Animation,6.7,A gripping story filled with emotion and depth.
195,Titanic,1989,Animation,8.1,A suspenseful ride packed with unexpected twists.
196,Spirited Away,1989,Animation,7.1,A beautifully crafted film with memorable characters.
197,The Godfather,2000,Comedy,9.7,A visually stunning film with a heartfelt narrative.
198,The Truman Show,1988,Romance,6.9,An emotional story that leaves a lasting impact.
199,Iron Man,2006,Action,7.3,A powerful drama exploring human relationships.
200,La La Land,1999,Animation,9.7,An emotional story that leaves a lasting impact.
201,Fight Club,1998,Adventure,6.6,A visually stunning film with a heartfelt narrative.
202,No Country for Old Men,1998,Comedy,6.7,A powerful drama exploring human relationships.
203,The Prestige,1979,Action,6.8,A thrilling adventure that keeps you on the edge.
204,Parasite,1978,Crime,9.5,An emotional story that leaves a lasting impact.
205,Harry Potter and the Sorcerer's Stone,2019,Action,6.9,A beautifully crafted film with memorable characters.
206,Gladiator,1996,Romance,9.6,An emotional story that leaves a lasting impact.
207,The Social Network,2016,Animation,8.7,A warm and inspiring tale of hope and resilience.
208,The Prestige,1996,Horror,9.3,A thrilling adventure that keeps you on the edge.
209,Harry Potter and the Sorcerer's Stone,1982,Animation,8.1,A thrilling adventure that keeps you on the edge.
210,The Green Mile,1981,Horror,9.3,An emotional story that leaves a lasting impact.
211,Harry Potter and the Sorcerer's Stone,1965,Sci-Fi,6.6,A visually stunning film with a heartfelt narrative.
212,A Beautiful Mind,1959,Animation,8.0,A visually stunning film with a heartfelt narrative.
213,Mad Max: Fury Road,1990,Drama,8.2,A thrilling adventure that keeps you on the edge.
214,Interstellar,1956,Drama,6.7,A powerful drama exploring human relationships.
215,Toy Story,2023,Drama,8.4,An unforgettable journey of courage and discovery.
216,Iron Man,1958,Animation,8.8,An emotional story that leaves a lasting impact.
217,The Truman Show,1975,Horror,7.8,An unforgettable journey of courage and discovery.
218,Interstellar,2008,Sci-Fi,9.2,A suspenseful ride packed with unexpected twists.
219,Inception,2016,Animation,7.9,A thrilling adventure that keeps you on the edge.
220,Indiana Jones and the Last Crusade,2023,Crime,9.6,A warm and inspiring tale of hope and resilience.
221,Jurassic Park,2011,Sci-Fi,6.9,A visually stunning film with a heartfelt narrative.
222,Spirited Away,2008,Drama,8.1,A fast-paced story with intense action sequences.
223,Django Unchained,1965,Adventure,8.4,A fast-paced story with intense action sequences.
224,Joker,1964,Thriller,7.0,A powerful drama exploring human relationships.
225,Braveheart,1983,Drama,8.7,A warm and inspiring tale of hope and resilience.
226,The Godfather,2023,Action,8.1,A warm and inspiring tale of hope and resilience.
227,Inception,2013,Comedy,8.2,A warm and inspiring tale of hope and resilience.
228,Forrest Gump,1981,Sci-Fi,7.1,A warm and inspiring tale of hope and resilience.
229,A Beautiful Mind,2009,Romance,7.7,A suspenseful ride packed with unexpected twists.
230,Avatar,1998,Adventure,8.4,A warm and inspiring tale of hope and resilience.
231,Django Unchained,2010,Romance,7.5,A beautifully crafted film with memorable characters.
232,Parasite,1966,Sci-Fi,7.9,A gripping story filled with emotion and depth.
233,Back to the Future,2022,Crime,6.9,A visually stunning film with a heartfelt narrative.
234,The Avengers,2009,Animation,9.2,An emotional story that leaves a lasting impact.
235,The Dark Knight,1982,Thriller,9.6,A suspenseful ride packed with unexpected twists.
236,The Batman,2019,Horror,9.6,An unforgettable journey of courage and discovery.
237,The Lord of the Rings,2020,Drama,8.1,A warm and inspiring tale of hope and resilience.
238,Se7en,1966,Comedy,7.1,A gripping story filled with emotion and depth.
239,Forrest Gump,1968,Crime,7.6,A warm and inspiring tale of hope and resilience.
240,The Truman Show,1971,Sci-Fi,9.0,An unforgettable journey of courage and discovery.
241,Titanic,1952,Drama,8.4,A gripping story filled with emotion and depth.
242,Parasite,1995,Sci-Fi,8.3,A visually stunning film with a heartfelt narrative.
243,Good Will Hunting,1993,Sci-Fi,6.6,A powerful drama exploring human relationships.
244,Avatar,2013,Romance,8.8,A fast-paced story with intense action sequences.
245,The Matrix,2014,Horror,8.0,A gripping story filled with emotion and depth.
246,Star Wars,1981,Adventure,8.1,A fast-paced story with intense action sequences.
247,Harry Potter and the Sorcerer's Stone,2021,Horror,9.3,An emotional story that leaves a lasting impact.
248,The Pianist,1950,Sci-Fi,7.0,A gripping story filled with emotion and depth.
249,Goodfellas,1984,Sci-Fi,9.8,A gripping story filled with emotion and depth.
250,Braveheart,1982,Animation,8.6,A visually stunning film with a heartfelt narrative.
251,Se7en,1980,Action,7.9,A suspenseful ride packed with unexpected twists.
252,Saving Private Ryan,2014,Adventure,7.3,An emotional story that leaves a lasting impact.
253,The Truman Show,2008,Adventure,7.4,An emotional story that leaves a lasting impact.
254,Forrest Gump,1983,Drama,7.8,A suspenseful ride packed with unexpected twists.
255,Inception,1967,Romance,9.5,A gripping story filled with emotion and depth.
256,Pulp Fiction,1957,Thriller,9.5,A powerful drama exploring human relationships.
257,The Matrix,1992,Comedy,7.9,A beautifully crafted film with memorable characters.
258,A Beautiful Mind,1964,Adventure,9.5,An unforgettable journey of courage and discovery.
259,Indiana Jones and the Last Crusade,2019,Adventure,9.5,A thrilling adventure that keeps you on the edge.
260,Toy Story,1962,Thriller,6.6,A suspenseful ride packed with unexpected twists.
261,2001: A Space Odyssey,2017,Adventure,9.5,A suspenseful ride packed with unexpected twists.
262,Slumdog Millionaire,1972,Adventure,6.5,A beautifully crafted film with memorable characters.
263,Spirited Away,2013,Adventure,9.1,A visually stunning film with a heartfelt narrative.
264,The Lord of the Rings,2017,Sci-Fi,9.3,An unforgettable journey of courage and discovery.
265,A Beautiful Mind,2018,Adventure,9.3,A beautifully crafted film with memorable characters.
266,No Country for Old Men,1960,Drama,7.0,A beautifully crafted film with memorable characters.
267,The Matrix,1988,Comedy,8.8,A fast-paced story with intense action sequences.
268,A Beautiful Mind,2008,Drama,9.7,A beautifully crafted film with memorable characters.
269,The Lion King,1957,Romance,9.1,A powerful drama exploring human relationships.
270,Parasite,1970,Drama,8.0,A suspenseful ride packed with unexpected twists.
271,A Beautiful Mind,2002,Adventure,9.5,A suspenseful ride packed with unexpected twists.
272,The Shawshank Redemption,1965,Drama,6.7,An unforgettable journey of courage and discovery.
273,Shutter Island,2020,Comedy,8.1,A warm and inspiring tale of hope and resilience.
274,Good Will Hunting,1988,Thriller,7.4,An unforgettable journey of courage and discovery.
275,Titanic,2004,Animation,8.5,A visually stunning film with a heartfelt narrative.
276,Black Panther,1957,Sci-Fi,8.9,A beautifully crafted film with memorable characters.
277,No Country for Old Men,1973,Crime,8.3,An unforgettable journey of courage and discovery.
278,Star Wars,1980,Sci-Fi,8.9,A fast-paced story with intense action sequences.
279,No Country for Old Men,1994,Animation,8.7,A suspenseful ride packed with unexpected twists.
280,Saving Private Ryan,1980,Horror,9.7,A beautifully crafted film with memorable characters.
281,Goodfellas,2015,Adventure,6.8,A powerful drama exploring human relationships.
282,Harry Potter and the Sorcerer's Stone,2019,Animation,8.2,A warm and inspiring tale of hope and resilience.
283,Spirited Away,1994,Romance,6.8,A gripping story filled with emotion and depth.
284,The Batman,1972,Romance,7.0,A powerful drama exploring human relationships.
285,The Silence of the Lambs,2008,Sci-Fi,7.0,A visually stunning film with a heartfelt narrative.
286,The Shawshank Redemption,1960,Crime,8.3,A thrilling adventure that keeps you on the edge.
287,Braveheart,2007,Animation,8.1,A powerful drama exploring human relationships.
288,Iron Man,1955,Animation,7.3,A thrilling adventure that keeps you on the edge.
289,The Matrix,1974,Thriller,7.6,An emotional story that leaves a lasting impact.
290,The Dark Knight,1962,Adventure,7.2,A gripping story filled with emotion and depth.
291,Forrest Gump,1958,Adventure,9.2,An emotional story that leaves a lasting impact.
292,Braveheart,1992,Romance,7.6,An emotional story that leaves a lasting impact.
293,The Dark Knight,2014,Horror,7.1,A warm and inspiring tale of hope and resilience.
294,The Silence of the Lambs,2012,Adventure,9.0,A gripping story filled with emotion and depth.
295,Iron Man,1980,Horror,8.3,A visually stunning film with a heartfelt narrative.
296,Iron Man,1974,Thriller,7.9,A thrilling adventure that keeps you on the edge.
297,Casablanca,1973,Adventure,7.8,A visually stunning film with a heartfelt narrative.
298,Slumdog Millionaire,1967,Crime,9.2,A suspenseful ride packed with unexpected twists.
299,The Lion King,1968,Romance,8.0,A warm and inspiring tale of hope and resilience.
300,Iron Man,1959,Adventure,8.0,A beautifully crafted film with memorable characters.
301,The Godfather,1993,Romance,7.0,A thrilling adventure that keeps you on the edge.
302,The Green Mile,2014,Action,6.8,A fast-paced story with intense action sequences.
303,Django Unchained,1996,Drama,8.2,An emotional story that leaves a lasting impact.
304,Saving Private Ryan,1987,Sci-Fi,8.7,A visually stunning film with a heartfelt narrative.
305,Avatar,1951,Comedy,8.6,A suspenseful ride packed with unexpected twists.
306,The Batman,2007,Romance,8.4,A thrilling adventure that keeps you on the edge.
307,The Truman Show,2022,Drama,6.6,A visually stunning film with a heartfelt narrative.
308,Se7en,1951,Comedy,7.6,A visually stunning film with a heartfelt narrative.
309,The Green Mile,2010,Crime,9.1,A warm and inspiring tale of hope and resilience.
310,The Terminator,2021,Animation,8.6,An emotional story that leaves a lasting impact.
311,La La Land,2001,Action,9.1,A gripping story filled with emotion and depth.
312,Forrest Gump,1971,Romance,7.3,A warm and inspiring tale of hope and resilience.
313,Star Wars,1957,Horror,7.5,A powerful drama exploring human relationships.
314,Jurassic Park,1956,Drama,8.4,A fast-paced story with intense action sequences.
315,The Pianist,1993,Crime,8.2,A beautifully crafted film with memorable characters.
316,Jurassic Park,2001,Animation,6.8,A gripping story filled with emotion and depth.
317,The Silence of the Lambs,2022,Sci-Fi,9.4,A gripping story filled with emotion and depth.
318,The Big Lebowski,1996,Adventure,7.1,A visually stunning film with a heartfelt narrative.
319,Braveheart,1970,Sci-Fi,7.2,A powerful drama exploring human relationships.
320,The Silence of the Lambs,2010,Adventure,7.8,A powerful drama exploring human relationships.
321,Se7en,2012,Crime,8.5,An unforgettable journey of courage and discovery.
322,The Big Lebowski,1978,Adventure,9.3,A warm and inspiring tale of hope and resilience.
323,Gladiator,2001,Romance,8.3,A suspenseful ride packed with unexpected twists.
324,Casablanca,2015,Romance,7.9,A powerful drama exploring human relationships.
325,The Truman Show,1965,Horror,9.1,A beautifully crafted film with memorable characters.
326,Star Wars,1970,Animation,8.2,A thrilling adventure that keeps you on the edge.
327,Casablanca,1958,Crime,8.4,A visually stunning film with a heartfelt narrative.
328,Spirited Away,1992,Drama,6.7,An emotional story that leaves a lasting impact.
329,Parasite,1973,Animation,9.1,A suspenseful ride packed with unexpected twists.
330,The Godfather,2024,Drama,6.8,An emotional story that leaves a lasting impact.
331,The Grand Budapest Hotel,1996,Action,8.1,A gripping story filled with emotion and depth.
332,Pulp Fiction,1969,Crime,8.2,A beautifully crafted film with memorable characters.
333,Toy Story,1958,Horror,7.3,A warm and inspiring tale of hope and resilience.
334,The Terminator,1965,Thriller,9.2,A gripping story filled with emotion and depth.
335,Django Unchained,1974,Horror,9.3,A suspenseful ride packed with unexpected twists.
336,Rocky,1957,Action,9.3,A thrilling adventure that keeps you on the edge.
337,Good Will Hunting,2013,Sci-Fi,7.4,An emotional story that leaves a lasting impact.
338,Interstellar,1981,Thriller,9.2,A fast-paced story with intense action sequences.
339,2001: A Space Odyssey,1975,Thriller,8.5,A suspenseful ride packed with unexpected twists.
340,Indiana Jones and the Last Crusade,2011,Sci-Fi,8.4,A gripping story filled with emotion and depth.
341,Black Panther,1952,Action,6.9,A warm and inspiring tale of hope and resilience.
342,Casablanca,1974,Crime,8.9,A fast-paced story with intense action sequences.
343,The Truman Show,1972,Drama,7.7,A suspenseful ride packed with unexpected twists.
344,Django Unchained,1963,Animation,7.6,A thrilling adventure that keeps you on the edge.
345,Harry Potter and the Sorcerer's Stone,2007,Action,9.4,A powerful drama exploring human relationships.
346,Back to the Future,2004,Romance,9.5,A warm and inspiring tale of hope and resilience.
347,A Beautiful Mind,1982,Crime,7.0,A warm and inspiring tale of hope and resilience.
348,The Batman,1991,Crime,7.9,A thrilling adventure that keeps you on the edge.
349,The Dark Knight,1979,Animation,7.0,An unforgettable journey of courage and discovery.
350,The Batman,1998,Romance,9.2,An emotional story that leaves a lasting impact.
351,Goodfellas,2021,Action,9.3,A powerful drama exploring human relationships.
352,The Matrix,1957,Romance,8.7,An emotional story that leaves a lasting impact.
353,The Batman,1967,Action,7.4,A thrilling adventure that keeps you on the edge.
354,The Prestige,2005,Comedy,9.8,A visually stunning film with a heartfelt narrative.
355,The Green Mile,2009,Horror,7.9,A fast-paced story with intense action sequences.
356,The Godfather,1979,Romance,8.7,A gripping story filled with emotion and depth.
357,La La Land,2013,Romance,9.5,A warm and inspiring tale of hope and resilience.
358,Moonlight,1973,Crime,8.2,A thrilling adventure that keeps you on the edge.
359,Django Unchained,1975,Action,7.8,An emotional story that leaves a lasting impact.
360,The Lion King,1991,Crime,9.5,A suspenseful ride packed with unexpected twists.
361,Back to the Future,1988,Thriller,7.9,A visually stunning film with a heartfelt narrative.
362,Toy Story,2019,Crime,8.4,A warm and inspiring tale of hope and resilience.
